User-ID,ISBN,Book-Rating
277427,002542730X,10
277427,0060930535,0
277427,0060934417,0
277427,0061009059,9
277427,0140067477,0
277427,0142001740,0
277427,0312966091,0
277427,031298328X,0
277427,0316096199,0
277427,0316168688,0
277427,0316284955,0
277427,0316602051,0
277427,0316666343,0
277427,0316776963,8
277427,0316777730,0
277427,0345339681,0
277427,0345361792,0
277427,0345413903,10
277427,0345436911,0
277427,0375727132,0
277427,0380710218,0
277427,0380718332,0
277427,0385424736,9
277427,0385484518,0
277427,0385486804,9
277427,0385504209,8
277427,0399144463,0
277427,0399501487,9
277427,0425115801,0
277427,0425116840,8
277427,0425154092,0
277427,0425158616,0
277427,0439064872,0
277427,0440225701,0
277427,0440236703,0
277427,0440241073,0
277427,0441172717,0
277427,0446602620,0
277427,0446603716,0
277427,0446604801,0
277427,0446607193,0
277427,0446608890,10
277427,0446611212,0
277427,0449221482,0
277427,0449221504,0
277427,0451177096,0
277427,0452284449,6
277427,0515132020,0
277427,0515133302,0
277427,0553268880,0
277427,0553271636,0
277427,0553274295,0
277427,0553279556,0
277427,0553280341,0
277427,0553280368,9
277427,0553571818,0
277427,0553572997,0
277427,0553582755,0
277427,0609804138,0
277427,0671001795,0
277427,0679731148,9
277427,0679751521,0
277427,0684872153,0
277427,0743412028,9
277427,080411918X,0
277427,0971880107,0
277427,1400031354,0
277427,1400034779,0
277478,0345351525,0
277478,0345443284,0
277478,0425169863,0
277478,0440225701,0
277478,0440234743,0
277478,0449907481,0
277478,0553579606,0
277478,0553579754,0
277478,0671003755,0
277478,0671888587,0
277478,0786868716,0
277478,080410526X,0
277478,0971880107,0
277639,0345391055,0
277639,034539657X,8
277639,0373825013,0
277639,0380731851,6
277639,0425133540,0
277639,0425147363,8
277639,0440211727,8
277639,0440214041,9
277639,0440218535,0
277639,0440222656,0
277639,0446359866,0
277639,0446611212,0
277639,0451170385,0
277639,0553579754,7
277639,0553582755,0
277639,0671004565,0
278418,006016848X,0
278418,0064400557,0
278418,0140177396,0
278418,0140244824,0
278418,014025448X,0
278418,0312974256,0
278418,0345313860,0
278418,0345348036,0
278418,0345361792,0
278418,0345368754,0
278418,0345380371,0
278418,034538184X,0
278418,0345384466,0
278418,034538475X,0
278418,0345391055,0
278418,0345404114,0
278418,0345422317,0
278418,0373484003,0
278418,0373825013,0
278418,0375702709,0
278418,0375703055,0
278418,0375706410,0
278418,0375725784,0
278418,0380002930,0
278418,0380018179,0
278418,0380789035,0
278418,0385265700,0
278418,0385420161,0
278418,038549081X,0
278418,0385490992,0
278418,038550120X,0
278418,0385722206,0
278418,0394820371,8
278418,0425116840,0
278418,042513525X,5
278418,0425147622,0
278418,0425151867,0
278418,0425155404,0
278418,0425158632,0
278418,042518630X,7
278418,0440206154,0
278418,0440211727,0
278418,0440214041,0
278418,0440222656,0
278418,0440224594,0
278418,0440225701,0
278418,0440235596,0
278418,0440236673,0
278418,044023722X,0
278418,0446310786,0
278418,0446363251,0
278418,0446364193,0
278418,044651652X,0
278418,0446604844,0
278418,0446605239,0
278418,0446608955,0
278418,0446672211,0
278418,0451153553,0
278418,0451156609,0
278418,0451169530,0
278418,0451176464,0
278418,0451177096,0
278418,0451181379,0
278418,0451183665,0
278418,0452264464,0
278418,051512608X,0
278418,0515126772,0
278418,0515127833,0
278418,0515128546,0
278418,0515130389,8
278418,0515131229,8
278418,0553208845,0
278418,0553268880,0
278418,0553272535,0
278418,0553274295,0
278418,0553284789,0
278418,055356451X,0
278418,0553573136,0
278418,0553579754,0
278418,0553580221,0
278418,0671024248,0
278418,0671027662,0
278418,0671617028,0
278418,0671758896,0
278418,0671867113,0
278418,0786817070,0
278418,0786889020,0
278418,080410526X,0
278418,1559029838,0
254,0060930535,0
254,0061020710,0
254,0140298479,0
254,0142001740,9
254,0312305060,0
254,0316769487,0
254,0316776963,0
254,0345350499,0
254,0345384466,0
254,0373218400,0
254,0375727345,0
254,0380789019,0
254,0380789035,10
254,0380977788,0
254,038542017X,0
254,0399146431,9
254,0399501487,0
254,0439064872,9
254,0439136350,9
254,0439139597,9
254,043935806X,0
254,0440211263,0
254,0441003257,0
254,0441569595,0
254,0446605239,0
254,0451167317,8
254,0451524934,9
254,0451526341,8
254,0452282152,0
254,051512317X,0
254,051513287X,0
254,0553250426,0
254,0553250531,0
254,0590353403,9
254,0671021001,7
254,0679735909,0
254,0684833395,0
254,0684872153,0
254,0684874350,0
254,0743225406,0
254,0804106304,0
2276,034538475X,0
2276,0345391055,0
2276,0345413881,0
2276,0380002930,9
2276,0385505833,5
2276,0385510438,0
2276,0425158616,0
2276,0425182908,4
2276,0440221471,10
2276,0440236673,10
2276,0440241537,0
2276,0446605484,0
2276,0446609323,9
2276,0449212602,0
2276,0449227421,0
2276,0451153553,0
2276,0451167317,0
2276,0553250531,0
2276,0553576801,8
2276,0553582526,9
2276,0679429220,0
2276,0805063897,10
2276,0812511816,0
2766,0060392452,0
2766,0060958022,8
2766,0142001740,0
2766,0312305060,0
2766,0316284955,0
2766,0316666343,9
2766,0316776963,0
2766,0345378490,0
2766,0345384369,0
2766,0385486804,0
2766,0440211263,8
2766,0440213290,0
2766,0440214041,0
2766,0440219078,8
2766,0440221595,8
2766,0440236673,0
2766,0440498058,0
2766,0446310786,10
2766,0449005615,9
2766,0451183665,0
2766,0553279912,7
2766,0671510053,0
2766,0671617028,0
2766,0684874350,0
2766,0743412028,0
2766,0767902521,8
2766,0786867647,0
2766,0971880107,6
2766,1559029838,0
2766,1573225789,0
2977,0060392452,0
2977,006099486X,0
2977,0142001430,7
2977,0345370775,0
2977,037570504X,5
2977,0375725784,3
2977,0385722206,0
2977,0440234743,0
2977,0449221504,0
